stage,function,participants,source_ids,control
Development and writing,"Premise, character arcs, episode structure, drafts and story revision","Riot creators, writers, producers",S068;S069;S072,Creator-mediated primary history
Visual development,"Character, costume, environment, prop, color and shape exploration",Riot and Fortiche art teams,S024;S038;S049,Concepts are not automatically final canon
Storyboarding,"Shot planning, staging, timing and editorial construction",Directors and storyboard artists,S070,Exact departmental credits vary by episode
Layout and previs,"Camera, spatial blocking and scene assembly",Fortiche layout teams,S070;S046,Production workflow description
Modeling and rigging,"Build controllable 3D characters, props and environments",Fortiche asset teams,S046;S070,Do not describe as finished image
Keyframe animation,"Character acting, action, timing and poses",Fortiche animators,S046;S049,Principal-character workflow emphasized
Crowd production,"Population assets, reusable cycles and shot-specific arrangement",Fortiche/Golaem workflow,S047;S048,Season Two case-study figures
2D effects,"Graphic marks, smoke, magic, impacts and subjective imagery",Fortiche 2D/effects teams,S046;S070;S079,Integrated with 3D footage
Matte and environment work,Extend and paint locations beyond core geometry,Fortiche environment/matte teams,S079,Technique varies by shot
Lighting and color,"Shape attention, atmosphere, material, time and emotion",Fortiche lighting/color teams,S024;S054;S058,Includes award-recognized work
Compositing,"Combine layers, effects, depth, texture and final image treatment",Fortiche compositing teams,S046;S070;S079,Not a single post-process filter
Editing,"Control rhythm, continuity, act structure and sequence meaning",Editorial and directors,S070;S072,Develops throughout production
Voice performance,Recorded character performance integrated with animation,Cast and voice-production teams,S023;S032,Credits should follow official episode materials
Score and songs,"Original score, commissioned songs, artists and scene integration","Riot Music, composers and collaborators",S025;S071;S073;S074,Song placement and score are separate datasets
Sound design and mix,"Effects, ambience, dialogue and final sonic construction",Sound teams,S057,Season Two finale sound editing won an Emmy
Localization and delivery,"Language versions, final masters, platform delivery and regional release","Riot, Netflix, Tencent Video and partners",S005;S010;S025,Platform and region controls required
